uid,role,gender,pay_annual_USD
68,Designer,Male,"$240,000 or more"
69,Leadership,Male,"$140,000 - $159,999"
70,Scientist,Male,"$120,000 - $139,999"
71,Leadership,Male,"$40,000 - $59,999"
72,Designer,Female,"$120,000 - $139,999"
73,Analyst,Female,"$60,000 - $79,999"
74,Scientist,Female,"$20,000 - $39,999"
75,Leadership,Male,"$240,000 or more"
76,Designer,Male,"$60,000 - $79,999"
77,Designer,Male,"$240,000 or more"
78,Engineer,Male,"$240,000 or more"
79,Analyst,Male,"$80,000 - $99,999"
80,Analyst,Female,"$60,000 - $79,999"
81,Analyst,Female,"$120,000 - $139,999"
82,Analyst,Male,"$60,000 - $79,999"
83,Developer,Male,"$120,000 - $139,999"
84,Designer,Female,"$80,000 - $99,999"
85,Other,Female,"$120,000 - $139,999"
86,Engineer,Female,"$60,000 - $79,999"
87,Other,Female,"$80,000 - $99,999"
88,Engineer,Male,"$100,000 - $119,999"
89,Leadership,Female,"$60,000 - $79,999"
90,Analyst,Female,"$60,000 - $79,999"
91,Leadership,Male,"$140,000 - $159,999"
92,Teacher,Male,"$100,000 - $119,999"
93,Analyst,Male,"$120,000 - $139,999"
94,Scientist,Male,"$80,000 - $99,999"
95,Scientist,Male,"$180,000 - $199,999"
96,Leadership,Female,"$60,000 - $79,999"
97,Developer,Male,"$120,000 - $139,999"
98,Designer,Male,"$80,000 - $99,999"
99,Leadership,Female,"$120,000 - $139,999"
100,Analyst,Female,"$80,000 - $99,999"
101,Other,Female,"$60,000 - $79,999"
102,Other,Male,"$120,000 - $139,999"
103,Analyst,Female,"$80,000 - $99,999"
104,Teacher,Male,"$120,000 - $139,999"
105,Scientist,Male,"$240,000 or more"
106,Designer,Female,"$80,000 - $99,999"
107,Designer,Female,"$60,000 - $79,999"
108,Scientist,Female,"$60,000 - $79,999"
109,Scientist,Self-described,"$60,000 - $79,999"
110,Analyst,Female,"$120,000 - $139,999"
111,Other,Self-described,"$40,000 - $59,999"
112,Other,Female,"$40,000 - $59,999"
113,Analyst,Female,"$80,000 - $99,999"
114,Analyst,Female,"$40,000 - $59,999"
115,Analyst,Male,"$100,000 - $119,999"
116,Developer,Male,"$100,000 - $119,999"
117,Developer,Female,"$60,000 - $79,999"
118,Developer,Male,"$100,000 - $119,999"
119,Analyst,Female,"$120,000 - $139,999"
120,Leadership,Male,"$100,000 - $119,999"
121,Analyst,Male,"$100,000 - $119,999"
122,Designer,Male,"$120,000 - $139,999"
123,Analyst,Male,"$120,000 - $139,999"
124,Designer,Male,"$60,000 - $79,999"
125,Leadership,Male,"$100,000 - $119,999"
126,Developer,Male,"$120,000 - $139,999"
127,Designer,Female,"$100,000 - $119,999"
128,Engineer,Male,"$140,000 - $159,999"
129,Analyst,Male,"$100,000 - $119,999"
130,Analyst,Male,"$80,000 - $99,999"
131,Designer,Female,"$160,000 - $179,999"
132,Analyst,Female,"$100,000 - $119,999"
133,Analyst,Female,"$120,000 - $139,999"
134,Developer,Male,"$100,000 - $119,999"
135,Analyst,Male,"$80,000 - $99,999"
136,Journalist,Female,"$80,000 - $99,999"
137,Leadership,Male,"$120,000 - $139,999"
138,,Female,"$20,000 - $39,999"
139,Leadership,Female,"$120,000 - $139,999"
140,Analyst,Female,"$60,000 - $79,999"
141,Analyst,Male,"$80,000 - $99,999"
142,Designer,Female,"$80,000 - $99,999"
143,Developer,Female,"$80,000 - $99,999"
144,Analyst,Male,"$80,000 - $99,999"
145,Leadership,Female,"$60,000 - $79,999"
146,Scientist,Female,"$60,000 - $79,999"
147,Analyst,Male,"$80,000 - $99,999"
148,Analyst,Female,"$80,000 - $99,999"
149,Designer,Female,"$60,000 - $79,999"
150,Developer,Female,"$60,000 - $79,999"
151,Leadership,Female,"$100,000 - $119,999"
152,Analyst,Female,"$40,000 - $59,999"
153,Analyst,Female,"$80,000 - $99,999"
154,Leadership,Female,"$140,000 - $159,999"
155,Leadership,Male,"$220,000 - $239,999"
156,Developer,Male,"$120,000 - $139,999"
157,Other,Female,"$100,000 - $119,999"
158,Leadership,Female,"$100,000 - $119,999"
159,Other,Female,"$120,000 - $139,999"
160,Leadership,Female,"$100,000 - $119,999"
161,Analyst,Female,"$80,000 - $99,999"
162,Developer,Female,"$80,000 - $99,999"
163,Designer,Female,"$60,000 - $79,999"
164,Analyst,Male,"$120,000 - $139,999"
165,Analyst,Female,"$80,000 - $99,999"
166,Designer,Female,"$100,000 - $119,999"
167,Analyst,Male,"$80,000 - $99,999"
168,Analyst,Female,"$40,000 - $59,999"
169,Developer,Male,"$60,000 - $79,999"
170,Designer,Female,"$120,000 - $139,999"
171,Analyst,Prefer not to say,"$60,000 - $79,999"
172,Analyst,Female,"$60,000 - $79,999"
173,Designer,Female,"$60,000 - $79,999"
174,Analyst,Female,"$60,000 - $79,999"
175,Analyst,Female,"$60,000 - $79,999"
176,Leadership,Female,"$140,000 - $159,999"
177,Analyst,Female,"$40,000 - $59,999"
178,Analyst,Male,"$120,000 - $139,999"
179,Analyst,Female,"$80,000 - $99,999"
180,Analyst,Prefer not to say,"$80,000 - $99,999"
181,Engineer,Female,"$120,000 - $139,999"
182,Analyst,Female,"$80,000 - $99,999"
183,Journalist,Female,"$60,000 - $79,999"
184,Analyst,Female,"$40,000 - $59,999"
185,Analyst,Female,"$60,000 - $79,999"
186,,Female,"$60,000 - $79,999"
187,Leadership,Male,"$240,000 or more"
188,,Female,"$40,000 - $59,999"
189,Leadership,Male,"$140,000 - $159,999"
190,Developer,Male,"$180,000 - $199,999"
191,Leadership,Female,"$60,000 - $79,999"
192,Engineer,Male,"$240,000 or more"
193,Leadership,Male,"$180,000 - $199,999"
194,Leadership,Female,"$80,000 - $99,999"
195,Teacher,Prefer not to say,"$80,000 - $99,999"
196,Leadership,Male,"$100,000 - $119,999"
197,Engineer,Female,"$160,000 - $179,999"
198,Developer,Female,"$100,000 - $119,999"
199,,Female,"$60,000 - $79,999"
200,Designer,Female,"$100,000 - $119,999"
201,Leadership,Male,"$60,000 - $79,999"
202,Analyst,Male,"$40,000 - $59,999"
203,Engineer,Male,"$180,000 - $199,999"
204,Analyst,Female,"$60,000 - $79,999"
205,,Male,"$60,000 - $79,999"
206,Leadership,Male,"$100,000 - $119,999"
207,Engineer,Male,"$140,000 - $159,999"
208,Leadership,Male,"$60,000 - $79,999"
209,Leadership,Female,"$160,000 - $179,999"
210,Analyst,Male,"$80,000 - $99,999"
211,Analyst,Male,"$60,000 - $79,999"
212,Designer,Male,"$80,000 - $99,999"
213,Designer,Male,"$100,000 - $119,999"
214,Designer,Female,"$120,000 - $139,999"
215,Leadership,Female,"$100,000 - $119,999"
216,Analyst,Male,"$100,000 - $119,999"
217,Engineer,Male,"$160,000 - $179,999"
218,Analyst,Male,"$100,000 - $119,999"
219,Leadership,Female,"$100,000 - $119,999"
220,Leadership,Male,"$100,000 - $119,999"
221,Developer,Female,"$60,000 - $79,999"
222,Other,Male,"$140,000 - $159,999"
223,Scientist,Male,"$80,000 - $99,999"
224,Analyst,Female,"$80,000 - $99,999"
225,Designer,Female,"$180,000 - $199,999"
226,Analyst,Female,"$40,000 - $59,999"
227,Analyst,Female,"$60,000 - $79,999"
228,Designer,Female,"$120,000 - $139,999"
229,Leadership,Male,"$10,000 - $19,999"
230,Analyst,Female,"$80,000 - $99,999"
231,Designer,Female,"$80,000 - $99,999"
232,Journalist,Female,"$60,000 - $79,999"
233,Analyst,Female,"$80,000 - $99,999"
234,Developer,Male,"$80,000 - $99,999"
235,Scientist,Male,"$120,000 - $139,999"
236,Analyst,Female,"$140,000 - $159,999"
237,Leadership,Female,"$60,000 - $79,999"
238,Analyst,Male,"$100,000 - $119,999"
239,Leadership,Male,"$160,000 - $179,999"
240,Other,Female,"$80,000 - $99,999"
241,Other,Female,"$60,000 - $79,999"
242,Analyst,Female,"$40,000 - $59,999"
243,Analyst,Self-described,"$40,000 - $59,999"
244,Analyst,Female,"$60,000 - $79,999"
245,Analyst,Female,"$80,000 - $99,999"
246,Teacher,Female,"$80,000 - $99,999"
247,Scientist,Female,"$80,000 - $99,999"
248,Analyst,Male,"$80,000 - $99,999"
249,Journalist,Male,"$100,000 - $119,999"
250,Leadership,Female,"$60,000 - $79,999"
251,Engineer,Female,"$100,000 - $119,999"
252,Analyst,Male,"$80,000 - $99,999"
253,Engineer,Female,"$120,000 - $139,999"
254,Leadership,Male,"$80,000 - $99,999"
255,Leadership,Male,"$120,000 - $139,999"
256,Developer,Female,"$120,000 - $139,999"
257,Engineer,Male,"$120,000 - $139,999"
258,Developer,Female,"$100,000 - $119,999"
259,Developer,Female,"$60,000 - $79,999"
260,Analyst,Female,"$140,000 - $159,999"
261,Analyst,Male,"$100,000 - $119,999"
262,Analyst,Female,"$80,000 - $99,999"
263,Analyst,Female,"$40,000 - $59,999"
264,Leadership,Male,"$180,000 - $199,999"
265,Leadership,Male,"$160,000 - $179,999"
266,Engineer,Male,"$100,000 - $119,999"
267,Analyst,Male,"$100,000 - $119,999"
268,Other,Male,"$80,000 - $99,999"
269,Designer,Female,"$160,000 - $179,999"
270,Analyst,Female,"$60,000 - $79,999"
271,Developer,Female,"$100,000 - $119,999"
272,Engineer,Male,"$100,000 - $119,999"
273,Engineer,Male,"$60,000 - $79,999"
274,Journalist,Male,"$120,000 - $139,999"
275,Analyst,Female,"$80,000 - $99,999"
276,Scientist,Female,"$140,000 - $159,999"
277,Analyst,Female,"$10,000 - $19,999"
278,,Female,"$120,000 - $139,999"
279,Journalist,Male,"$100,000 - $119,999"
280,Leadership,Male,"$80,000 - $99,999"
281,Analyst,Female,"$100,000 - $119,999"
282,Leadership,Male,"$160,000 - $179,999"
283,Analyst,Male,"$60,000 - $79,999"
284,Analyst,Male,"$60,000 - $79,999"
285,Leadership,Female,"$180,000 - $199,999"
286,Analyst,Female,"$80,000 - $99,999"
287,Analyst,Female,"$80,000 - $99,999"
288,Analyst,Female,"$80,000 - $99,999"
289,Analyst,Female,"$80,000 - $99,999"
290,Analyst,Male,"$40,000 - $59,999"
291,Analyst,Female,"$60,000 - $79,999"
292,Other,Self-described,"$40,000 - $59,999"
293,Developer,Male,"$120,000 - $139,999"
294,Designer,Female,"$100,000 - $119,999"
295,Analyst,Male,"$60,000 - $79,999"
296,Analyst,Female,"$80,000 - $99,999"
297,Analyst,Male,"$120,000 - $139,999"
298,Scientist,Female,"$60,000 - $79,999"
299,Engineer,Male,"$140,000 - $159,999"
300,Leadership,Male,"$180,000 - $199,999"
301,Analyst,Male,"$140,000 - $159,999"
302,Leadership,Male,"$240,000 or more"
303,Cartographer,Male,"$60,000 - $79,999"
304,Analyst,Female,"$80,000 - $99,999"
305,Engineer,Female,"$80,000 - $99,999"
306,Designer,Male,"$40,000 - $59,999"
307,Analyst,Male,"$60,000 - $79,999"
308,Scientist,Male,"$60,000 - $79,999"
309,Analyst,Female,"$60,000 - $79,999"
310,Designer,Male,"$100,000 - $119,999"
311,Analyst,Male,"$60,000 - $79,999"
312,Analyst,Female,"$80,000 - $99,999"
313,Analyst,Female,"$60,000 - $79,999"
314,Leadership,Female,"$80,000 - $99,999"
315,Other,Female,"$40,000 - $59,999"
316,Analyst,Female,"$100,000 - $119,999"
317,Leadership,Female,"$120,000 - $139,999"
318,Scientist,Female,"$80,000 - $99,999"
319,Developer,Female,"$80,000 - $99,999"
320,Leadership,Male,"$120,000 - $139,999"
321,Scientist,Female,"$160,000 - $179,999"
322,Leadership,Female,"$80,000 - $99,999"
323,Cartographer,Female,"$40,000 - $59,999"
324,Analyst,Female,"$60,000 - $79,999"
325,Analyst,Female,"$60,000 - $79,999"
326,Leadership,Female,"$60,000 - $79,999"
327,Engineer,Female,"$140,000 - $159,999"
328,Leadership,Male,"$200,000 - $219,999"
329,Analyst,Female,"$80,000 - $99,999"
330,Analyst,Female,"$40,000 - $59,999"
331,Engineer,Male,"$120,000 - $139,999"
332,Leadership,Male,"$60,000 - $79,999"
333,Analyst,Male,"$40,000 - $59,999"
334,Analyst,Male,"$120,000 - $139,999"
335,Analyst,Female,"$80,000 - $99,999"
336,Leadership,Male,"$120,000 - $139,999"
337,Other,Female,"$60,000 - $79,999"
338,Leadership,Male,"$200,000 - $219,999"
339,Designer,Male,"$120,000 - $139,999"
340,Analyst,Male,"$100,000 - $119,999"
341,Analyst,Female,"$80,000 - $99,999"
342,Analyst,Female,"$60,000 - $79,999"
343,Leadership,Female,"$180,000 - $199,999"
344,Designer,Male,"$100,000 - $119,999"
345,Analyst,Female,"$40,000 - $59,999"
346,Designer,Male,"$140,000 - $159,999"
347,Developer,Female,"$100,000 - $119,999"
348,Analyst,Male,"$60,000 - $79,999"
349,Analyst,Female,"$80,000 - $99,999"
350,Analyst,Male,"$40,000 - $59,999"
351,Designer,Male,"$120,000 - $139,999"
352,Engineer,Male,"$140,000 - $159,999"
353,Developer,Male,"$60,000 - $79,999"
354,Developer,Male,"$60,000 - $79,999"
355,Scientist,Male,"$160,000 - $179,999"
356,Leadership,Male,"$160,000 - $179,999"
357,,Female,"$20,000 - $39,999"
358,Leadership,Male,"$140,000 - $159,999"
359,Analyst,Female,"$180,000 - $199,999"
360,Developer,Male,"$140,000 - $159,999"
361,Leadership,Male,"$140,000 - $159,999"
362,Analyst,Female,"$100,000 - $119,999"
363,Engineer,Male,"$140,000 - $159,999"
364,Analyst,Female,"$40,000 - $59,999"
365,Developer,Female,"$100,000 - $119,999"
366,Teacher,Female,"$160,000 - $179,999"
367,Designer,Male,"$240,000 or more"
368,Leadership,Female,"$100,000 - $119,999"
369,Analyst,Female,"$100,000 - $119,999"
370,Analyst,Female,"$60,000 - $79,999"
371,Designer,Male,"$80,000 - $99,999"
372,Leadership,Male,"$140,000 - $159,999"
373,Analyst,Male,"$60,000 - $79,999"
374,Leadership,Male,"$60,000 - $79,999"
375,Developer,Male,"$180,000 - $199,999"
376,Analyst,Male,"$100,000 - $119,999"
377,Analyst,Male,"$140,000 - $159,999"
378,Developer,Male,"$140,000 - $159,999"
379,Scientist,Female,"$100,000 - $119,999"
380,Analyst,Female,"$80,000 - $99,999"
381,Leadership,Male,"$240,000 or more"
382,Scientist,Male,"$80,000 - $99,999"
383,Analyst,Male,"$100,000 - $119,999"
384,Leadership,Female,"$140,000 - $159,999"
385,Analyst,Female,"$60,000 - $79,999"
386,Leadership,Male,"$220,000 - $239,999"
387,Engineer,Male,"$240,000 or more"
388,Analyst,Female,"$60,000 - $79,999"
389,Developer,Male,"$100,000 - $119,999"
390,Designer,Male,"$160,000 - $179,999"
391,Designer,Male,"$180,000 - $199,999"
392,Analyst,Male,"$120,000 - $139,999"
393,Leadership,Male,"$240,000 or more"
394,Developer,Female,"$240,000 or more"
395,Scientist,Female,"$80,000 - $99,999"
396,Analyst,Female,"$80,000 - $99,999"
397,Leadership,Male,"$120,000 - $139,999"
398,Designer,Male,"$240,000 or more"
399,Leadership,Male,"$240,000 or more"
400,Scientist,Male,"$100,000 - $119,999"
401,Scientist,Male,"$120,000 - $139,999"
402,Leadership,Male,"$180,000 - $199,999"
403,Analyst,Female,"$80,000 - $99,999"
404,Scientist,Male,"$100,000 - $119,999"
405,Analyst,Female,"$100,000 - $119,999"
406,Analyst,Male,"$60,000 - $79,999"
407,,Male,"$120,000 - $139,999"
408,Analyst,Female,"$80,000 - $99,999"
409,Scientist,Female,"$140,000 - $159,999"
410,Developer,Female,"$140,000 - $159,999"
411,Analyst,Female,"$60,000 - $79,999"
412,Leadership,Male,"$180,000 - $199,999"
413,Leadership,Female,"$100,000 - $119,999"
414,Designer,Male,"$120,000 - $139,999"
415,,Female,"$160,000 - $179,999"
416,Leadership,Male,"$220,000 - $239,999"
417,Developer,Male,"$180,000 - $199,999"
418,Designer,Female,"$120,000 - $139,999"
419,Leadership,Female,"$100,000 - $119,999"
420,Analyst,Female,"$40,000 - $59,999"
421,Analyst,Male,"$100,000 - $119,999"
422,Leadership,Male,"$160,000 - $179,999"
423,,Male,"$10,000 - $19,999"
424,Developer,Male,"$80,000 - $99,999"
425,,Male,"$20,000 - $39,999"
426,,Female,"$100,000 - $119,999"
427,Journalist,Female,"$60,000 - $79,999"
428,Designer,Female,"$60,000 - $79,999"
429,Leadership,Female,"$60,000 - $79,999"
430,Analyst,Female,"$80,000 - $99,999"
431,Analyst,Male,"$40,000 - $59,999"
432,Scientist,Female,"$120,000 - $139,999"
433,Analyst,Female,"$80,000 - $99,999"
434,Teacher,Female,"$80,000 - $99,999"
435,Designer,Female,"$40,000 - $59,999"
436,Analyst,Female,"$20,000 - $39,999"
437,Analyst,Male,"$80,000 - $99,999"
438,Developer,Female,"$80,000 - $99,999"
439,Designer,Female,"$40,000 - $59,999"
440,Analyst,Female,"$100,000 - $119,999"
441,Other,Female,"$80,000 - $99,999"
442,Scientist,Male,"$40,000 - $59,999"
443,Analyst,Male,"$80,000 - $99,999"
444,Analyst,Female,"$60,000 - $79,999"
445,Analyst,Female,"$100,000 - $119,999"
446,Analyst,Female,"$60,000 - $79,999"
447,Leadership,Male,"$160,000 - $179,999"
448,Leadership,Female,"$100,000 - $119,999"
449,Analyst,Female,"$80,000 - $99,999"
450,Analyst,Female,"$80,000 - $99,999"
451,Analyst,Female,"$60,000 - $79,999"
452,Analyst,Female,"$60,000 - $79,999"
453,Analyst,Male,"$100,000 - $119,999"
454,Leadership,Female,"$100,000 - $119,999"
455,Developer,Female,"$80,000 - $99,999"
456,Other,Male,"$60,000 - $79,999"
457,Leadership,Female,"$100,000 - $119,999"
458,Analyst,Female,"$80,000 - $99,999"
459,Analyst,Female,"$40,000 - $59,999"
460,Analyst,Male,"$80,000 - $99,999"
461,Other,Prefer not to say,"$80,000 - $99,999"
462,Analyst,Female,"$80,000 - $99,999"
463,Analyst,Male,"$100,000 - $119,999"
464,Analyst,Female,"$60,000 - $79,999"
465,Analyst,Female,"$80,000 - $99,999"
466,Analyst,Female,"$80,000 - $99,999"
467,Analyst,Male,"$80,000 - $99,999"
468,Analyst,Female,"$120,000 - $139,999"
469,Leadership,Male,"$180,000 - $199,999"
470,Analyst,Female,"$120,000 - $139,999"
471,Analyst,Female,"$40,000 - $59,999"
472,Scientist,Female,"$60,000 - $79,999"
473,Leadership,Female,"$160,000 - $179,999"
474,Analyst,Female,"$60,000 - $79,999"
475,Leadership,Male,"$100,000 - $119,999"
476,Analyst,Male,"$140,000 - $159,999"
477,Leadership,Female,"$80,000 - $99,999"
478,Scientist,Male,"$120,000 - $139,999"
479,Engineer,Female,"$180,000 - $199,999"
480,Engineer,Male,"$240,000 or more"
481,Developer,Male,"$60,000 - $79,999"
482,Leadership,Male,"$140,000 - $159,999"
483,Leadership,Male,"$120,000 - $139,999"
484,Developer,Male,"$60,000 - $79,999"
485,Leadership,Male,"$100,000 - $119,999"
486,Analyst,Male,"$60,000 - $79,999"
487,Scientist,Male,"$120,000 - $139,999"
488,Leadership,Male,"$120,000 - $139,999"
489,Designer,Female,"$80,000 - $99,999"
490,Analyst,Male,"$100,000 - $119,999"
491,Scientist,Female,"$60,000 - $79,999"
492,Other,Male,"$100,000 - $119,999"
493,Engineer,Male,"$240,000 or more"
494,,Female,"$10,000 - $19,999"
495,Leadership,Female,"$100,000 - $119,999"
496,Analyst,Female,"$80,000 - $99,999"
497,Analyst,Female,"$100,000 - $119,999"
498,Analyst,Male,"$80,000 - $99,999"
499,Leadership,Male,"$140,000 - $159,999"
500,Analyst,Female,"$100,000 - $119,999"
501,Leadership,Male,"$120,000 - $139,999"
502,Analyst,Male,"$60,000 - $79,999"
503,Analyst,Female,"$120,000 - $139,999"
504,Analyst,Male,"$60,000 - $79,999"
505,Analyst,Female,"$120,000 - $139,999"
506,Analyst,Male,"$60,000 - $79,999"
507,Leadership,Female,"$140,000 - $159,999"
508,Analyst,Female,"$100,000 - $119,999"
509,Leadership,Male,"$120,000 - $139,999"
510,Leadership,Male,"$120,000 - $139,999"
511,Other,Male,"$240,000 or more"
512,Analyst,Male,"$160,000 - $179,999"
513,Analyst,Female,"$100,000 - $119,999"
514,Engineer,Male,"$240,000 or more"
515,Leadership,Female,"$220,000 - $239,999"
516,Leadership,Male,"$200,000 - $219,999"
517,Developer,Female,"$140,000 - $159,999"
518,Scientist,Male,"$100,000 - $119,999"
519,Analyst,Male,"$40,000 - $59,999"
520,Scientist,Female,"$80,000 - $99,999"
521,,Male,"$20,000 - $39,999"
522,Analyst,Male,"$40,000 - $59,999"
523,Scientist,Male,"$160,000 - $179,999"
524,Analyst,Male,"$140,000 - $159,999"
525,Leadership,Male,"$100,000 - $119,999"
526,Engineer,Male,"$120,000 - $139,999"
527,,Male,"$20,000 - $39,999"
528,Leadership,Male,"$140,000 - $159,999"
529,Leadership,Male,"$180,000 - $199,999"
530,Designer,Female,"$80,000 - $99,999"
531,Analyst,Female,"$20,000 - $39,999"
532,Scientist,Female,"$60,000 - $79,999"
533,Analyst,Male,"$100,000 - $119,999"
534,Leadership,Female,"$120,000 - $139,999"
535,Journalist,Male,"$120,000 - $139,999"
536,Designer,Male,"$80,000 - $99,999"
537,Journalist,Male,"$100,000 - $119,999"
538,Other,Female,"$80,000 - $99,999"
539,Leadership,Female,"$200,000 - $219,999"
540,,Male,"$40,000 - $59,999"
541,Leadership,Self-described,"$120,000 - $139,999"
542,,Male,"$160,000 - $179,999"
543,,Female,"$80,000 - $99,999"
544,,Male,"$60,000 - $79,999"
545,,Female,"$140,000 - $159,999"
546,Designer,Male,"$80,000 - $99,999"
547,Leadership,Male,"$60,000 - $79,999"
548,Engineer,Female,"$100,000 - $119,999"
549,Analyst,Male,"$120,000 - $139,999"
550,Leadership,Male,"$140,000 - $159,999"
551,Analyst,Male,"$80,000 - $99,999"
552,Leadership,Male,"$140,000 - $159,999"
553,Analyst,Male,"$60,000 - $79,999"
554,Analyst,Female,"$60,000 - $79,999"
555,Leadership,Male,"$80,000 - $99,999"
556,Developer,Female,"$100,000 - $119,999"
557,Developer,Male,"$60,000 - $79,999"
558,Analyst,Female,"$80,000 - $99,999"
559,Leadership,Female,"$120,000 - $139,999"
560,Analyst,Female,"$40,000 - $59,999"
561,Analyst,Female,"$60,000 - $79,999"
562,Developer,Male,"$100,000 - $119,999"
563,Analyst,Female,"$40,000 - $59,999"
564,Analyst,Female,"$60,000 - $79,999"
565,Analyst,Female,"$80,000 - $99,999"
566,Leadership,Male,"$100,000 - $119,999"
567,Scientist,Prefer not to say,"$160,000 - $179,999"
568,Analyst,Female,"$100,000 - $119,999"
569,Analyst,Self-described,"$60,000 - $79,999"
570,Analyst,Female,"$60,000 - $79,999"
571,Analyst,Male,"$120,000 - $139,999"
572,Other,Self-described,"$80,000 - $99,999"
573,Leadership,Male,"$240,000 or more"
574,Leadership,Male,"$200,000 - $219,999"
575,Leadership,Female,"$200,000 - $219,999"
576,Designer,Female,"$60,000 - $79,999"
577,Developer,Female,"$80,000 - $99,999"
578,Journalist,Male,"$80,000 - $99,999"
579,Analyst,Female,"$100,000 - $119,999"
580,Analyst,Female,"$40,000 - $59,999"
581,Engineer,Male,"$100,000 - $119,999"
582,Analyst,Female,"$80,000 - $99,999"
583,Developer,Male,"$80,000 - $99,999"
584,Leadership,Female,"$120,000 - $139,999"
585,Designer,Female,"$60,000 - $79,999"
586,Scientist,Female,"$120,000 - $139,999"
587,Designer,Female,"$140,000 - $159,999"
588,Engineer,Male,"$240,000 or more"
589,Developer,Male,"$100,000 - $119,999"
590,Analyst,Female,"$100,000 - $119,999"
591,Leadership,Male,"$140,000 - $159,999"
592,Other,Female,"$40,000 - $59,999"
593,Designer,Male,"$80,000 - $99,999"
594,Leadership,Female,"$80,000 - $99,999"
595,Analyst,Female,"$80,000 - $99,999"
596,Journalist,Male,"$120,000 - $139,999"
597,Analyst,Male,"$40,000 - $59,999"
598,Journalist,Female,"$100,000 - $119,999"
599,Leadership,Female,"$100,000 - $119,999"
600,Designer,Male,"$120,000 - $139,999"
601,Leadership,Male,"$240,000 or more"
602,Journalist,Female,"$60,000 - $79,999"
603,Analyst,Female,"$80,000 - $99,999"
604,Designer,Female,"$180,000 - $199,999"
605,Analyst,Male,"$60,000 - $79,999"
606,Leadership,Male,"$140,000 - $159,999"
607,Journalist,Male,"$60,000 - $79,999"
608,Leadership,Female,"$160,000 - $179,999"
609,Leadership,Male,"$120,000 - $139,999"
610,Analyst,Male,"$160,000 - $179,999"
611,Developer,Female,"$120,000 - $139,999"
612,,Female,"$60,000 - $79,999"
613,Analyst,Male,"$80,000 - $99,999"
614,Designer,Female,"$40,000 - $59,999"
615,Engineer,Male,"$240,000 or more"
616,Developer,Female,"$100,000 - $119,999"
617,Designer,Male,"$100,000 - $119,999"
618,Developer,Female,"$80,000 - $99,999"
619,Analyst,Female,"$120,000 - $139,999"
